releasedate,lei,benchmarkyear,benchmark,actual_or_implied,benchmark_revision,Adjustment_from_prior_period,
6/18/2002,112.4,1996,100,i,,,
7/18/2002,112.4,1996,100,a,,,"Every January, data revisions that fall outside of the moving six-month window are incorporated when the benchmark revision is made and the entire histories of the indexes are recomputed. As a result, the revised indexes and their month-over-month changes will no longer be directly comparable to those issued prior to the benchmark revision."
8/19/2002,111.7,1996,100,a,,,
9/23/2002,111.8,1996,100,a,,,
10/21/2002,111.6,1996,100,a,,,
11/21/2002,111.4,1996,100,a,,,
12/19/2002,112.3,1996,100,a,,,
1/23/2003,111.3,1996,100,a,1,0.001,
2/20/2003,111.2,1996,100,a,,,
3/20/2003,111.1,1996,100,a,,,
4/21/2003,110.6,1996,100,a,,,
5/19/2003,110.6,1996,100,a,,,
6/19/2003,111.6,1996,100,a,,,
7/21/2003,111.8,1996,100,a,,,
8/21/2003,112.5,1996,100,a,,,
9/18/2003,113.3,1996,100,a,,,
10/20/2003,113,1996,100,a,,,
11/20/2003,113.6,1996,100,a,,,
12/18/2003,114.2,1996,100,a,,,
1/22/2004,114.3,1996,100,a,1,0.002,
2/19/2004,115,1996,100,a,,,
3/18/2004,115.1,1996,100,a,,,
4/19/2004,115.3,1996,100,a,,,
5/20/2004,115.9,1996,100,a,,,
6/17/2004,116.5,1996,100,a,,,
7/22/2004,116.2,1996,100,a,,,
8/19/2004,116,1996,100,a,,,
9/23/2004,115.7,1996,100,a,,,
10/21/2004,115.6,1996,100,a,,,
11/18/2004,118.3,1996,100,a,,,
12/20/2004,115.2,1996,100,a,,,
1/20/2005,115.4,1996,100,a,1,0.002,
2/17/2005,115.6,1996,100,a,,,
3/17/2005,115.6,1996,100,a,,,
4/21/2005,115.1,1996,100,a,,,
5/19/2005,114.5,1996,100,a,,,
6/20/2005,114.1,1996,100,a,,,
7/21/2005,137.7,1996,100,a,,,
8/18/2005,138.2,1996,100,a,,,
9/22/2005,137.6,1996,100,a,,,
10/20/2005,136.8,1996,100,a,,,
11/21/2005,137.9,1996,100,a,,,
12/22/2005,138.8,1996,100,a,,,
1/23/2006,138.5,1996,100,a,1,0.001,
2/21/2006,140.1,1996,100,a,,,
3/20/2006,139,1996,100,a,,,
4/20/2006,138.4,1996,100,a,,,
5/18/2006,138.9,1996,100,a,,,
6/22/2006,137.9,1996,100,a,,,
7/20/2006,138.1,1996,100,a,,,
8/17/2006,138.1,1996,100,a,,,
9/21/2006,137.6,1996,100,a,,,
10/19/2006,137.7,1996,100,a,,,
11/20/2006,138.3,1996,100,a,,,
12/21/2006,138.2,1996,100,a,,,
1/23/2007,138,1996,100,a,1,0.003,
2/21/2007,138.5,1996,100,a,,,
3/22/2007,137.3,1996,100,a,,,
4/19/2007,137.4,1996,100,a,,,
5/17/2007,137.3,1996,100,a,,,
6/21/2007,138,1996,100,a,,,
7/19/2007,137.5,1996,100,a,,,
8/20/2007,138.1,1996,100,a,,,
9/20/2007,137.8,1996,100,a,,,
10/18/2007,137.9,1996,100,a,,,
11/21/2007,136.9,1996,100,a,,,
12/20/2007,136.3,1996,100,a,,,
1/18/2008,135.9,1996,100,a,1,-0.002,
2/21/2008,135.8,1996,100,a,,,
3/20/2008,135,1996,100,a,,,
4/17/2008,102,2004,100,a,1,0.001,
5/19/2008,102,2004,100,a,,,
6/19/2008,102.1,2004,100,a,,,
7/21/2008,101.7,2004,100,a,,,
8/21/2008,101.2,2004,100,a,,,
9/18/2008,100.8,2004,100,a,,,
10/20/2008,100.6,2004,100,a,,,
11/20/2008,99.6,2004,100,a,,,
12/18/2008,99,2004,100,a,,,
1/26/2009,99.5,2004,100,a,1,0.003,
2/19/2009,99.5,2004,100,a,,,
3/19/2009,98.5,2004,100,a,,,
4/20/2009,98.1,2004,100,a,,,
5/21/2009,99,2004,100,a,,,
6/18/2009,100.2,2004,100,a,,,
7/20/2009,100.9,2004,100,a,,,
8/20/2009,101.6,2004,100,a,,,
9/21/2009,102.5,2004,100,a,,,
10/22/2009,103.5,2004,100,a,,,
11/19/2009,103.8,2004,100,a,,,
12/17/2009,104.9,2004,100,a,,,
1/21/2010,106.4,2004,100,a,1,0.011,
2/18/2010,107.4,2004,100,a,,,
3/18/2010,107.6,2004,100,a,,,
4/19/2010,109.6,2004,100,a,,,
5/20/2010,109.3,2004,100,a,,,
6/17/2010,109.9,2004,100,a,,,
7/22/2010,109.8,2004,100,a,,,
8/19/2010,109.8,2004,100,a,,,
9/23/2010,110.2,2004,100,a,,,
10/21/2010,110.4,2004,100,a,,,
11/18/2010,111.3,2004,100,a,,,
12/17/2010,112.4,2004,100,a,,,
1/20/2011,112.4,2004,100,a,1,0.01,
2/17/2011,112.3,2004,100,a,,,
3/17/2011,113.4,2004,100,a,,,
4/21/2011,114.1,2004,100,a,,,
5/19/2011,114,2004,100,a,,,
6/17/2011,114.7,2004,100,a,,,
7/21/2011,115.3,2004,100,a,,,
8/18/2011,115.8,2004,100,a,,,
9/22/2011,116.2,2004,100,a,,,
10/20/2011,116.4,2004,100,a,,,
11/18/2011,117.4,2004,100,a,,,
12/22/2011,118,2004,100,a,,,
1/26/2012,94.3,2004,100,a,1,0.004,
2/17/2012,94.9,2004,100,a,,,
3/22/2012,95.5,2004,100,a,,,
4/19/2012,95.7,2004,100,a,,,
5/17/2012,95.5,2004,100,a,,,
6/21/2012,95.8,2004,100,a,,,
7/19/2012,95.6,2004,100,a,,,
8/17/2012,95.8,2004,100,a,,,
9/20/2012,95.7,2004,100,a,,,
10/18/2012,95.9,2004,100,a,,,
11/21/2012,96,2004,100,a,,,
12/20/2012,95.8,2004,100,a,,,
1/24/2013,93.9,2004,100,a,1,0.005,
2/21/2013,94.1,2004,100,a,,,
3/21/2013,94.8,2004,100,a,,,
4/18/2013,94.7,2004,100,a,,,
5/17/2013,95,2004,100,a,,,
6/20/2013,95.2,2004,100,a,,,
7/18/2013,95.3,2004,100,a,,,
8/22/2013,96,2004,100,a,,,
9/19/2013,96.6,2004,100,a,,,
11/6/2013,97.1,2004,100,a,,,
11/27/2013,97.5,2004,100,a,,,
12/19/2013,98.3,2004,100,a,,,
1/23/2014,99.4,2004,100,a,1,0.001,
2/20/2014,99.5,2004,100,a,,,
3/20/2014,99.8,2004,100,a,,,
4/21/2014,100.9,2004,100,a,,,
5/22/2014,101.4,2004,100,a,,,
6/19/2014,101.7,2004,100,a,,,
7/18/2014,102.2,2004,100,a,,,
8/21/2014,103.3,2004,100,a,,,
9/19/2014,103.8,2004,100,a,,,
10/23/2014,104.4,2004,100,a,,,
11/20/2014,105.2,2004,100,a,,,
12/18/2014,105.5,2004,100,a,,,
1/23/2015,121.1,2010,100,a,1,0.005,
2/19/2015,121.1,2010,100,a,,,
3/19/2015,121.4,2010,100,a,,,
4/17/2015,121.4,2010,100,a,,,
